ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2030-01-01,-10.361914873798177,-62.46217635267244,42.36655686139814,Snow and Ice
2031-01-01,-7.220596311392832,-60.146300016956694,50.07719605471894,Snow and Ice
2032-01-01,-4.6295324459914085,-57.17036868908896,46.948725736894986,Snow and Ice
2033-01-01,-16.06853780060791,-74.36737811131876,37.109801886842995,Snow and Ice
2024-01-01,-173.75406186397228,-499.46823539469983,181.57932881505153,Unclassified
2025-01-01,-67.46031847020672,-431.4860069909085,283.47384605788244,Unclassified
2026-01-01,-116.16395760641967,-446.14963700573304,243.1741306579414,Unclassified
2027-01-01,-163.9177173878118,-554.1060097352542,172.56332183160868,Unclassified
2028-01-01,-210.67504488072944,-539.3722865549878,138.50883059882074,Unclassified
2029-01-01,-104.38130148692228,-478.7559127356967,255.32919375224793,Unclassified
2030-01-01,-153.08494062274232,-507.1835339763886,208.77311243929245,Unclassified
2031-01-01,-200.8387004044053,-555.0023139065975,154.47388105495793,Unclassified
2032-01-01,-247.5960278972673,-594.7312317642172,111.73559238765554,Unclassified
2033-01-01,-141.30228450325916,-488.9473378287979,209.02931769585365,Unclassified
2024-01-01,44.662590114717375,35.570563232519746,54.713376591708254,Urban and Built-up
2025-01-01,45.62343129292269,35.94343778765032,56.12887134188069,Urban and Built-up
2026-01-01,48.46746307897763,38.65855461089399,57.52626718672073,Urban and Built-up
2027-01-01,50.83457105875833,40.60600354171167,60.11406177310491,Urban and Built-up
2028-01-01,52.72429698416374,43.016523195573036,62.65998763181335,Urban and Built-up
2029-01-01,53.685138162377356,43.044787961590984,63.59103390507211,Urban and Built-up
2030-01-01,56.52916994842306,46.557456871278774,66.3272385148877,Urban and Built-up
2031-01-01,58.896277928206615,48.32463547475577,67.89335531729597,Urban and Built-up
2032-01-01,60.78600385360696,50.78406224896673,71.2805358317853,Urban and Built-up
2033-01-01,61.74684503181753,51.51142041718592,71.05489280608104,Urban and Built-up
2024-01-01,59.646978083371835,-1897.5975688011783,2005.2210660804665,Woody Savannas
2025-01-01,833.081945999809,-1430.2184400938809,2760.0747846800086,Woody Savannas
2026-01-01,629.4994716615953,-1312.3535743642005,2574.2100221165524,Woody Savannas
2027-01-01,417.485654289028,-1572.6115206376758,2280.8606354865647,Woody Savannas
2028-01-01,197.3400946732143,-1773.1229657935066,2273.6008008050076,Woody Savannas
2029-01-01,970.7750625901676,-1083.3320951562139,3039.890187321258,Woody Savannas
2030-01-01,767.1925882542863,-1308.3519440008206,2795.445959862041,Woody Savannas
2031-01-01,555.1787708800273,-1360.8335474357914,2674.288588218616,Woody Savannas
2032-01-01,335.0332112643721,-1610.6290820110648,2357.6644085313524,Woody Savannas
2033-01-01,1108.4681791826256,-781.4506570757359,3036.8956436110225,Woody Savannas
